country,country_code,year,gdp_per_capita,life_expectancy,internet_usage,unemployment
"Korea, Rep.",KOR,1991,7872.65052449111,72.0463414634146,0.0461,2.291
Netherlands,NLD,1991,21764.2144987258,77.0,0.531,7.285
Norway,NOR,1991,28596.9330036444,76.9807317073171,1.41,5.467
Portugal,PRT,1991,8958.9853330247,74.0146341463415,0.1,3.919
Singapore,SGP,1991,14502.3799938606,75.6463414634146,0.162,2.18
Sweden,SWE,1991,31776.6680192213,77.6668292682927,1.16,3.127
Syrian Arab Republic,SYR,1991,1000.07798684947,70.075,0.0,6.75
Thailand,THA,1991,1765.62267359529,69.132,5.22e-05,2.63
United States,USA,1991,24342.2589048189,75.3658536585366,1.16,6.8
Argentina,ARG,1992,6789.99611136495,72.096,0.00299,6.36
Australia,AUS,1992,18650.3675476612,77.3780487804878,1.77,10.729
Austria,AUT,1992,24782.7118767063,75.8170731707317,0.643,3.592
Belgium,BEL,1992,23372.619171015,76.3512195121951,0.1,6.702
Brazil,BRA,1992,2127.29083011489,66.539,0.0129,7.086
Canada,CAN,1992,20950.3305287651,77.8380487804878,0.916,11.197
Switzerland,CHE,1992,40713.6881521435,77.8060975609756,1.75,2.344
Chile,CHL,1992,3351.84108855522,74.367,0.0365,6.667
Cyprus,CYP,1992,11310.072265625,76.291,0.0501,2.087
Germany,DEU,1992,26559.8543879632,75.819512195122,0.435,6.323
Denmark,DNK,1992,29579.4913648682,75.1941463414634,0.387,9.027
Ecuador,ECU,1992,1655.44613192632,69.468,0.00512,8.56
Spain,ESP,1992,16100.6799428032,77.41,0.0768,17.697
France,FRA,1992,23615.0168565483,77.1,0.279,10.203
United Kingdom,GBR,1992,20487.1707852878,76.4341463414634,0.261,9.772
Greece,GRC,1992,11021.012224607,77.3829268292683,0.0483,8.927
"Hong Kong SAR, China",HKG,1992,17976.4688629053,77.6734146341464,0.85,1.96
Hungary,HUN,1992,3747.32966394956,69.1170731707317,0.0484,9.816
Ireland,IRL,1992,15714.3847487231,75.4150975609756,0.17,15.021
Israel,ISR,1992,15509.9913638817,76.5048780487805,0.311,11.171
Italy,ITA,1992,23297.0460325456,77.419512195122,0.0701,9.321
Japan,JPN,1992,31992.7902119161,79.080243902439,0.0967,2.2
"Korea, Rep.",KOR,1992,8387.16308258471,72.4975609756098,0.0984,2.393
Luxembourg,LUX,1992,39570.8615665986,75.7707317073171,0.153,2.029
Malaysia,MYS,1992,3141.43321987651,71.483,0.00105,3.705
Netherlands,NLD,1992,23939.2173482108,77.2170731707317,1.32,5.555
Norway,NOR,1992,30523.9850558974,77.1843902439025,2.22,5.915
New Zealand,NZL,1992,11793.1392416214,76.1243902439025,0.286,10.673
Portugal,PRT,1992,10810.5665079626,74.3121951219512,0.25,3.985
Singapore,SGP,1992,16136.2405377661,75.9463414634146,0.471,3.09
Sweden,SWE,1992,32753.4287003642,77.9987804878049,1.5,5.591
Thailand,THA,1992,1971.60879910694,69.353,0.000344,1.35
United States,USA,1992,25418.9907763319,75.6170731707317,1.72,7.5
Argentina,ARG,1993,6931.85596375876,72.303,0.0295,10.1
Australia,AUS,1993,17724.5399501656,77.8780487804878,1.97,10.874
Austria,AUT,1993,23987.2037240657,76.0682926829268,0.765,4.216
Belgium,BEL,1993,22283.9360213551,76.3453658536585,0.199,8.078
Bulgaria,BGR,1993,1278.52511370319,71.3468292682927,0.00234,21.387
Brazil,BRA,1993,2348.90635436384,66.892,0.0255,6.03
Canada,CAN,1993,20186.7988782965,77.7048780487805,1.18,11.377
Switzerland,CHE,1993,39237.1186558781,78.0853658536586,2.17,3.551
Chile,CHL,1993,3540.91377313015,74.679,0.0718,6.551
China,CHN,1993,378.939353053314,69.492,0.000169,0.978
Cyprus,CYP,1993,10526.1416015625,76.294,0.0564,2.7
Czechia,CZE,1993,3984.1463439879,72.7678048780488,0.581,4.349
Germany,DEU,1993,25616.6508772405,75.8707317073171,0.464,7.675
Denmark,DNK,1993,27581.7241097459,75.1168292682927,0.578,10.719
Ecuador,ECU,1993,1697.88884141445,70.07,0.0164,7.948
"Egypt, Arab Rep.",EGY,1993,740.334217356418,64.147,0.000976,10.917
Spain,ESP,1993,13330.3798192211,77.5465853658537,0.128,22.156
Estonia,EST,1993,2685.90889287357,67.909756097561,0.301,1.9
Fiji,FJI,1993,2070.04734110195,65.51,0.00668,5.876
France,FRA,1993,22238.8250618434,77.3,0.591,11.32
United Kingdom,GBR,1993,18389.0195675099,76.3853658536585,0.52,10.346
Greece,GRC,1993,10257.3085789073,77.390243902439,0.191,10.177
"Hong Kong SAR, China",HKG,1993,20395.5621886121,78.0160975609756,1.33,1.96
Hungary,HUN,1993,3886.66608419616,69.1012195121951,0.193,11.94
Ireland,IRL,1993,14657.0615549805,75.2921951219512,0.281,15.571
Israel,ISR,1993,15178.8399875391,77.1536585365854,0.399,10.017
Italy,ITA,1993,18781.9529427137,77.7219512195122,0.122,10.212
Japan,JPN,1993,36345.2441262708,79.3036585365854,0.401,2.5
"Korea, Rep.",KOR,1993,9179.96872485152,72.9975609756098,0.25,2.777
Kuwait,KWT,1993,14317.7209419057,76.0514878048781,0.0911,0.8
Luxembourg,LUX,1993,40066.7242518773,75.7121951219512,0.302,2.33
Malaysia,MYS,1993,3461.99504214189,71.721,0.0255,4.113
Netherlands,NLD,1993,23156.4404444568,76.9165853658537,1.97,6.287
Norway,NOR,1993,27963.6979095744,77.1517073170732,2.78,5.944
New Zealand,NZL,1993,13094.3454502639,76.4341463414634,0.631,9.799
Poland,POL,1993,2497.13055936127,71.5951219512195,0.13,14.011
Portugal,PRT,1993,9534.6563637308,74.5121951219512,0.45,5.301
Singapore,SGP,1993,18290.130113185,76.0463414634146,0.763,3.07
Slovak Republic,SVK,1993,3143.10143068756,72.4487804878049,0.128,12.2
Slovenia,SVN,1993,7254.58887417768,73.2536585365854,0.41,9.1
Sweden,SWE,1993,24389.8738124128,78.0604878048781,1.72,9.187
Syrian Arab Republic,SYR,1993,992.771367475098,70.309,0.0,7.4
Thailand,THA,1993,2245.13688708983,69.568,0.0136,1.49
